日付,証明番号,ゲーム,カード番号,キャラ名,セット,仕入値,出品数,全体中央値,TOP中央値,目標価格,損益分岐,乖離率,判定,出品価格
2026-04-15,92862502,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,8480,2,430.00,430.00,102.43,88.63,-76%,GO,408.98
2026-04-15,153610059,Dragon Ball Super Card Game,FB03-139,Son Gohan : Youth Secret Rare-Alternate Art,Raging Roar,32000,1,613.39,613.39,332.31,287.55,-46%,GO,582.98
2026-04-15,142491109,Dragon Ball Super Card Game,FB06-119,Son Goku : Childhood Secret Rare-Alternate Art,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,39000,2,589.80,589.80,400.72,346.75,-32%,GO,560.98
2026-04-15,94156788,Dragon Ball Super Card Game,FB01-096,Vegeta Ultimate,Ultimate Battle Winner Prize,31100,18,460.00,480.07,323.51,279.94,-30%,GO,437.98
2026-04-15,92862502,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,8480,2,430.00,430.00,102.43,88.63,-76%,GO,408.98
2026-04-15,94156788,Dragon Ball Super Card Game,FB01-096,Vegeta Ultimate,Ultimate Battle Winner Prize,31100,18,460.00,480.07,323.51,279.94,-30%,GO,437.98
2026-04-15,139561551,Dragon Ball Super Card Game,SB02-017,Gotenks,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,22000,11,350.00,361.40,234.57,202.98,-33%,GO,234.98
2026-04-15,140655515,Dragon Ball Super Card Game,SB02-001,Trunks : Future,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,9400,5,189.98,139.40,120.82,96.41,-36%,GO,120.98
2026-04-15,136817578,Dragon Ball Super Card Game,SB01-002,Android 16,Manga Booster 01,28000,3,340.00,306.70,293.21,253.72,-14%,GO,293.98
2026-04-15,89002149,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,7999,2,430.00,430.00,97.73,84.57,-77%,GO,97.98
2026-04-15,91128228,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,9999,2,430.00,430.00,117.28,101.48,-73%,GO,117.98
2026-04-15,92637834,Dragon Ball Super Card Game,FB01-035,Goku Black,Awakened Pulse,13999,21,188.86,209.40,169.57,135.31,-10%,GO,169.98
2026-04-15,152778879,Dragon Ball Super Card Game,FB07-113,Bulma,Wish For Shenron,44997,6,1100.00,1592.46,459.34,397.47,-58%,GO,459.98
2026-04-15,92862502,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,8480,2,430.00,430.00,102.43,88.63,-76%,GO,102.98
2026-04-15,139561551,Dragon Ball Super Card Game,SB02-017,Gotenks,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,22000,11,350.00,361.40,234.57,202.98,-33%,GO,234.98
2026-04-15,155455140,Dragon Ball Super Card Game,SB01-023,Son Goku,Manga Booster 01,42000,15,1299.00,3150.41,430.04,372.13,-67%,GO,430.98
2026-04-15,153610059,Dragon Ball Super Card Game,FB03-139,Son Gohan : Youth Secret Rare-Alternate Art,Raging Roar,32000,1,613.39,613.39,332.31,287.55,-46%,GO,332.98
2026-04-15,142491109,Dragon Ball Super Card Game,FB06-119,Son Goku : Childhood Secret Rare-Alternate Art,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,39000,2,589.80,589.80,400.72,346.75,-32%,GO,400.98
2026-04-15,140655515,Dragon Ball Super Card Game,SB02-001,Trunks : Future,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,9400,5,189.98,139.40,120.82,96.41,-36%,GO,120.98
2026-04-15,94156788,Dragon Ball Super Card Game,FB01-096,Vegeta Ultimate,Ultimate Battle Winner Prize,31100,18,460.00,480.07,323.51,279.94,-30%,GO,323.98
2026-04-15,146110685,Dragon Ball Super Card Game,FP-024,Son Goku (mini): Da,Daimatsuri Promo,29800,4,329.00,304.29,310.81,268.95,-6%,GO,310.98
2026-04-15,136817578,Dragon Ball Super Card Game,SB01-002,Android 16,Manga Booster 01,28000,3,340.00,306.70,293.21,253.72,-14%,GO,293.98
2026-04-15,89002149,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,7999,2,430.00,430.00,97.73,84.57,-77%,GO,97.98
2026-04-15,91128228,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,9999,2,430.00,430.00,117.28,101.48,-73%,GO,117.98
2026-04-15,92637834,Dragon Ball Super Card Game,FB01-035,Goku Black,Awakened Pulse,13999,21,188.86,209.40,169.57,135.31,-10%,GO,169.98
2026-04-15,152778879,Dragon Ball Super Card Game,FB07-113,Bulma,Wish For Shenron,44997,6,1100.00,1592.46,459.34,397.47,-58%,GO,459.98
2026-04-15,92862502,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,8480,2,430.00,430.00,102.43,88.63,-76%,GO,102.98
2026-04-15,139561551,Dragon Ball Super Card Game,SB02-017,Gotenks,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,22000,11,350.00,361.40,234.57,202.98,-33%,GO,234.98
2026-04-15,155455140,Dragon Ball Super Card Game,SB01-023,Son Goku,Manga Booster 01,42000,15,1299.00,3150.41,430.04,372.13,-67%,GO,430.98
2026-04-15,145707960,Dragon Ball Super Card Game,E01-02,Energy Marker,Energy Marker Pack 01,16500,15,220.00,313.93,180.81,156.46,-18%,GO,180.98
2026-04-15,153610059,Dragon Ball Super Card Game,FB03-139,Son Gohan : Youth Secret Rare-Alternate Art,Raging Roar,32000,1,613.39,613.39,332.31,287.55,-46%,GO,332.98
2026-04-15,89003768,Dragon Ball Super Card Game,E01-07,Energy Marker,Energy Marker Pack 01,15700,21,262.13,262.13,173.00,149.70,-34%,GO,173.98
