日付,検索条件,タイトル,メルカリ価格,メルカリURL,eBay中央値,eBay出品数,判定,推奨出品価格
2026-04-13,cat:1409 | ¥1000-50000,モンキー・D・ルフィ プレミアムカードコレクション ワンピース デイ' 24,28999,https://jp.mercari.com/item/m37539627111,141270251,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECEカード　ジュエリー・ボニー　リーダーパラレル　PSA10,34998,https://jp.mercari.com/item/m46334636512,153543246,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 たしぎ R フラッグシップ プロモ OP12-031,13000,https://jp.mercari.com/item/m94577486183,143296835,331.47,12,GO,314.98
2026-04-13,cat:1409 | ¥1000-50000,2026 ワンピース MONKEY D. LUFFY PSA 10 1番くじ,20800,https://jp.mercari.com/item/m74614716041,154361985,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10【OP06-119】サンジ SEC (パラレル/SP),24000,https://jp.mercari.com/item/m90741970149,109091429,263.0,75,HOLD,276.98
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】ヤマト SR パラレル OP04-112 ワンピース,8500,https://jp.mercari.com/item/m13142634449,88045107,176.5,61,GO,167.98
2026-04-13,cat:1409 | ¥1000-50000,PSA10】おナミ C [ST18-002](プロモ「8パックバトル 優勝」,25000,https://jp.mercari.com/item/m25950670738,141678480,292.0,20,GO,277.98
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】 ワンピースカードゲーム ヤマト 最強ジャンプ8月号付録 プロモ,8900,https://jp.mercari.com/item/m67600382890,87243274,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 ナミ 007 Film Red プロモ One Piece Nami,12999,https://jp.mercari.com/item/m20002214397,139080291,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ワンピースカード ヒロインズエディション 限定ドンカード,13333,https://jp.mercari.com/item/m56651916386,139348823,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】ゼウス SP エッグヘッドクライシス収録 OP11-106,49800,https://jp.mercari.com/item/m42770404917,153333955,390.0,51,NOGO,551.33
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】2025 ONE PIECE OP11 JP #005 ルフィ太郎,36000,https://jp.mercari.com/item/m27622078500,142925218,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECE カード ドンキホーテ・ロシナンテ PSA10,22500,https://jp.mercari.com/item/m45932567485,150265028,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】ONE PIECEカード ヒロインズエディション 金ドン,28888,https://jp.mercari.com/item/m30774862355,139348810,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,シャンクス SR SP ST16-004 PSA10,32000,https://jp.mercari.com/item/m85754565277,109204387,350.0,23,HOLD,361.98
2026-04-13,cat:1409 | ¥1000-50000,PSA10 ゴムゴムの黄金回転弾 パラレル R-P [OP15-116],50000,https://jp.mercari.com/item/m74824228614,156103472,573.79,2,GO,545.98
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECE ジュエリーボニー SP ST02-007 PSA10,21000,https://jp.mercari.com/item/m25393863363,94175225,249.99,63,GO,237.98
2026-04-13,cat:1409 | ¥1000-50000,PSA10 ワンピース 少女,15500,https://jp.mercari.com/item/m94419476281,154232085,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECE magazine 20 モンキー・D・ルフィ PSA10,44444,https://jp.mercari.com/item/m47443047274,136819032,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,値下げしました‼️2023 ワンピース カードゲーム ナミ #016 PSA10,46666,https://jp.mercari.com/item/m80488353752,88419553,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】モンキー・D・ルフィ スタンダードバトル 優勝 プロモ 12月優勝,17999,https://jp.mercari.com/item/m29796150486,154136723,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】ルフィ OP05-119 SEC,15699,https://jp.mercari.com/item/m23801605947,141914012,279.99,247,GO,265.98
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】トラファルガー・ロー SP SEC OP10-119,28800,https://jp.mercari.com/item/m96937600846,151238659,829.0,62,GO,787.98
2026-04-13,cat:1409 | ¥1000-50000,ワンピースカードゲーム　ペローナ　フラッグシップバトル　プロモ　PSA10,18000,https://jp.mercari.com/item/m16558521793,138164329,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,シャンクス SR SP ST16-004 PSA10,30000,https://jp.mercari.com/item/m29398884105,109204387,350.0,23,GO,332.98
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】ONE PIECEカード ヒロインズエディション 金ドン,27777,https://jp.mercari.com/item/m30774862355,139348810,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】トラファルガー・ロー SP SEC OP10-119,27800,https://jp.mercari.com/item/m96937600846,151238659,829.0,63,GO,787.98
2026-04-14,cat:1409 | ¥1000-50000,ワンピースカード ヒロインズエディション 限定ドンカード,13333,https://jp.mercari.com/item/m56651916386,139348823,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】ゼウス SP エッグヘッドクライシス収録 OP11-106,49800,https://jp.mercari.com/item/m42770404917,153333955,399.99,50,NOGO,551.33
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】2025 ONE PIECE OP11 JP #005 ルフィ太郎,35500,https://jp.mercari.com/item/m27622078500,142925218,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ONE PIECE カード ドンキホーテ・ロシナンテ PSA10,22500,https://jp.mercari.com/item/m45932567485,150265028,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ト*ク様 【ポケモンカード】ミュウツー25th psa10,45666,https://jp.mercari.com/item/m51725974354,140838034,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,PSA10 ゴムゴムの黄金回転弾 パラレル R-P [OP15-116],48000,https://jp.mercari.com/item/m74824228614,156103472,444.0,3,HOLD,532.98
2026-04-14,cat:1409 | ¥1000-50000,ONE PIECE ジュエリーボニー SP ST02-007 PSA10,21000,https://jp.mercari.com/item/m25393863363,94175225,249.99,65,GO,237.98
2026-04-14,cat:1409 | ¥1000-50000,PSA10 ワンピース 少女,15500,https://jp.mercari.com/item/m94419476281,154232085,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ONE PIECE magazine 20 モンキー・D・ルフィ PSA10,44444,https://jp.mercari.com/item/m47443047274,136819032,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,値下げしました‼️2023 ワンピース カードゲーム ナミ #016 PSA10,46666,https://jp.mercari.com/item/m80488353752,88419553,,,UNKNOWN,
